,Brand,Model,Power,Price,Seller
0,LG,HM051MR.U44,4,442190,Etaz
1,LG,HM071MR.U44,6,451365,Etaz
2,LG,HM091MR.U44,8,463931,Etaz
3,LG,HM121MR.U34,11,561664,Etaz
4,LG,HM123MR.U34,11,596169,Etaz
5,LG,HM141MR.U34,14,575027,Etaz
6,LG,HM143MR.U34,14,609333,Etaz
7,LG,HM161MR.U34,16,601554,Etaz
8,LG,HM163MR.U34,16,622497,Etaz
